video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
anqxTwGE_nQ,Taylor Swift,Taylor Swift - Lavender Haze (Acoustic Version),"Listen to “Lavender Haze (Acoustic Version)” by Taylor Swift.

Buy/Download/Stream “Lavender Haze (Acoustic Version): https://taylor.lnk.to/LHAcoustic
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#TaylorSwift #LavenderHaze #TSMidnights","['taylor swift midnights', 'taylor swift', 'midnights', 'lavender haze', 'lavender haze acoustic', 'taylor swift acoustic', 'taylor swift songs', 'taylor swift single']",2023-03-31T04:00:01Z,910278,65959,,3315,PT3M,hd,false
kE31ShDEOwg,Taylor Swift,Taylor Swift - Lavender Haze (Snakehips Remix),"Listen to “Lavender Haze (Snakehips Remix)” by Taylor Swift.

Buy/Download/Stream ""Lavender Haze (Snakehips Remix)"" https://taylor.lnk.to/LHRemix
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#TaylorSwift #LavenderHaze #TSMidnights","['lavender haze', 'taylor swift', 'taylor swift lavender haze', 'lavender haze remix', 'taylor swift remix', 'taylor swift midnights remix', 'midnights songs', 'midnights remix', 'taylor swift midnights']",2023-03-03T05:00:29Z,458508,14623,,892,PT3M11S,hd,false
nfFujEdM0_E,Taylor Swift,Taylor Swift - Lavender Haze (Jungle Remix),"Listen to “Lavender Haze (Jungle Remix)” by Taylor Swift.

Buy/Download/Stream ""Lavender Haze (Jungle Remix)"" https://taylor.lnk.to/LHRemix
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#TaylorSwift #LavenderHaze #TSMidnights","['lavender haze', 'taylor swift', 'taylor swift lavender haze', 'lavender haze remix', 'taylor swift remix', 'taylor swift midnights remix', 'midnights songs', 'midnights remix', 'taylor swift midnights']",2023-03-03T05:00:23Z,198248,13399,,1029,PT3M59S,hd,false
ZZtamrXjB_w,Taylor Swift,Taylor Swift - Lavender Haze (Tensnake Remix),"Listen to “Lavender Haze (Tensnake)” by Taylor Swift.

Buy/Download/Stream ""Lavender Haze (Tensnake Remix)"" https://taylor.lnk.to/LHRemix
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#TaylorSwift #LavenderHaze #TSMidnights","['lavender haze', 'taylor swift', 'taylor swift lavender haze', 'lavender haze remix', 'taylor swift remix', 'taylor swift midnights remix', 'midnights songs', 'midnights remix', 'taylor swift midnights']",2023-03-03T05:00:16Z,184359,13490,,756,PT3M38S,hd,false
pCH19_8E4Hw,Taylor Swift,Taylor Swift - Lavender Haze (Behind The Scenes),"Behind the scenes of “Lavender Haze” from the album Midnights. 

Watch ""Lavender Haze"" Official Music Video:  taylor.lnk.to/lavenderhazemusicvideo
Stream/download ""Lavender Haze"" Remixes: taylor.lnk.to/lhremixes  
Stream/download Midnights: taylor.lnk.to/TSMidnights

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
TikTok: http:/tiktok.com/@taylorswift 
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
TikTok: http:/tiktok.com/@taylornation
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13

#TaylorSwift #BTS #LavenderHaze #TSMidnights","['taylor swift', 'lavender haze', 'taylor swift lavender haze', 'behind the scenes', 'taylor swift behind the scenes', 'taylor swift bts', 'bts laveneder haze', 'lavender haze music video', 'midnights BTS', 'taylor swift music video']",2023-03-03T04:56:53Z,916936,98380,,3491,PT3M32S,hd,false
6DdAzVDVBpw,Taylor Swift,Taylor Swift - Lavender Haze (Felix Jaehn Remix),"Listen to “Lavender Haze (Felix Jaehn Remix)” by Taylor Swift.

Buy/Download/Stream ""Lavender Haze (Felix Jaehn Remix)"" https://taylor.lnk.to/LHRemix
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

#TaylorSwift #LavenderHaze #TSMidnights",,2023-02-10T05:00:05Z,531202,36915,,2468,PT2M57S,hd,false
h8DLofLM7No,TaylorSwiftVEVO,Taylor Swift - Lavender Haze (Official Music Video),"Official music video for “Lavender Haze” by Taylor Swift from the album ‘Midnights’.

Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnights 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

Written by Taylor Swift, Jack Antonoff, Zoë Kravitz, Mark Anthony Spears, Jahaan Akil Sweet &
Sam Dew

Meet me at midnight ...
Staring at the ceiling with you
Oh, you don’t ever say too much
And you don’t really read into
My melancholia
I been under scrutiny
You handle it beautifully
All this shit is new to me
I feel the lavender haze creeping up on me
Surreal
I’m damned if I do give a damn what people say
No deal
The 1950s shit they want from me
I just wanna stay in that lavender haze
All they keep asking me
Is if I’m gonna be your bride
The only kinda girl they see
Is a one night or a wife
I find it dizzying
They’re bringing up my history
But you weren’t even listening
Chorus
That lavender haze
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk
Chorus
Get it off your chest
Get it off my desk
I just wanna stay in that lavender haze

Director: Taylor Swift
Director of Photography: Rina Yang
Producer: Sara D'Alessio
Editor: Chancler Haynes
Production Designer: Ethan Tobman
1st AD: Anthony Dimino
Visual Effects: Parliament
Production Companies: Taylor Swift Productions & Revolution Pictures

#taylorswift #midnights #LavenderHaze 


Music video by Taylor Swift performing Lavender Haze. © 2023 Taylor Swift","['taylor swift', 'taylor', 'swift', 'lavender haze', 'midnights', 'taylor swift new music', 'taylor swift midnights', 'taylor swift album', 'taylor swift new album', 'swifties', 'taylors version', 'taylor swift lyrics', 'official taylor swift video', 'taylor swift challenge', 'anti hero challenge', 'taylor swift tiktok']",2023-01-27T05:00:07Z,31198995,1274049,,40246,PT3M31S,hd,true
HqDZxtMIx0M,Taylor Swift,Meet me at midnight…for the Lavender Haze music video premiere (!!!!!!!!!!!!!),,,2023-01-26T13:10:08Z,477228,67967,,1367,PT10S,hd,false
M0Ku_op-LXI,Taylor Swift,Taylor Swift - All Too Well: The Short Film (Behind The Scenes),"Behind the scenes of “All Too Well (10 Minute Version): The Short Film” from the album Red (Taylor’s Version). 

Watch All Too Well: The Short Film:  taylor.lnk.to/ATWshortfilm
Stream/download “All Too Well (10 Minute Version) (Taylor’s Version) (From the Vault)”: taylor.lnk.to/atw-collection   
Stream/download Red (Taylor’s Version):  taylor.lnk.to/redtaylorsversion

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Exclusive Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift online:
Instagram: http://instagram.com/taylorswift  
TikTok: http:/tiktok.com/@taylorswift 
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
Instagram: http://instagram.com/taylornation  
TikTok: http:/tiktok.com/@taylornation
Tumblr: http://taylornation.tumblr.com  
Twitter: http://twitter.com/taylornation13

#TaylorSwift #BTS #AllTooWell #RedTaylorsVersion","['taylor', 'swift', 'behind the scenes', 'taylor swift bts', 'all too well', 'all too well video', 'all too well the short film', 'taylor swift short film', 'short film', 'taylor swift director', 'dylan o’brien', 'sadie sink', 'taylor swift red', 'taylor swift behind the scenes', 'taylor swift sadie sink', 'taylor swift dylan o’brien', 'dylan obrien music video', 'taylor swift music video', 'taylor swift']",2022-12-08T14:00:09Z,4673367,334639,,7044,PT6M57S,hd,false
nF4Jc9sPPug,Taylor Swift,Taylor Swift - Anti-Hero (ILLENIUM Remix),"Listen to “Anti-Hero (ILLENIUM Remix)” by Taylor Swift.

Buy/Download/Stream “Anti-Hero (ILLENIUM Remix)”: https://taylor.lnk.to/AHILLENIUM
Buy/Download/Stream ‘Midnights’: https://taylor.lnk.to/taylorswiftmidnidnights

►Join the #TSAntiHeroChallenge: https://yt.be/TSAntiHero 

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe 
 
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online:
TikTok: http://tiktok.com/@taylorswift
Instagram: http://instagram.com/taylorswift  
Twitter: http://twitter.com/taylorswift13  
Snapchat: http://snapchat.com/add/taylorswift
Facebook: http://facebook.com/taylorswift  
Tumblr: http://taylorswift.tumblr.com  
Website: http://www.taylorswift.com  

►Follow Taylor Nation Online
TikTok: http://tiktok.com/@taylornation
Instagram: http://instagram.com/taylornation  
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com  

Follow ILLENIUM: 
https://bio.to/ILLENIUM 
http://instagram.com/illenium 
http://facebook.com/Illenium 
http://twitter.com/illenium 
http://soundcloud.com/illeniumofficial 
https://www.tiktok.com/@illenium

#taylorswift #midnights #antihero #illenium","['illenium', 'illenium remix', 'taylor swift illenium', 'taylor swift remix', 'anti hero remix', 'antihero remix', 'midnights remix', 'taylor swift midnights', 'midnights', 'taylor swift', 'ts midnights', 'ts anti-hero']",2022-11-18T05:00:32Z,1458925,49890,,2525,PT4M32S,hd,false
